#objID,g,r,i,u
1237645941299020324,22.89923,21.88004,21.70257,23.27797
1237645941299020323,22.03138,21.0961,20.88822,22.90524
1237645941299020322,22.30467,20.46397,19.65368,25.97967
1237645941299020318,21.49551,20.32431,19.82012,23.75341
1237645941299020317,22.7786,21.53455,21.37055,24.06894
1237645941299020316,21.91426,20.81145,20.237,23.89181
1237645941299020314,22.61899,20.75054,19.913,24.74439
1237645941299020311,22.55189,21.56618,20.97745,23.76671
1237645941299020305,22.16309,20.599,19.82513,24.73422
1237645941299020299,21.80928,20.10883,19.333,22.49215
1237645941299020296,21.07537,20.1757,19.74679,21.8835
1237645941299020295,21.27849,20.45561,20.14011,22.25932
1237645941299020293,22.25924,21.46554,21.48781,22.44236
1237645941299020291,22.54871,21.40715,20.9753,23.20227
1237645941299020288,21.6908,20.26244,19.70582,22.29046
1237645941299020286,19.99868,19.78775,19.34693,24.46905
1237645941299020283,21.69866,21.12354,20.89521,24.06196
1237645941299020278,21.8732,20.75406,20.58866,22.05033
1237645941299020275,20.9963,20.22278,19.80624,22.60402
1237645941299020272,21.66748,20.81491,20.50026,22.66926
1237645941299020270,21.2419,20.5908,20.34478,22.55049
1237645941299020269,21.75216,20.11192,19.41077,24.41898
1237645941299020262,22.67544,21.92731,21.5114,24.6218
1237645941299020261,21.21372,20.58197,20.33056,22.32177
1237645941299020259,21.30143,20.43128,19.97859,22.68575
1237645941299020253,22.31432,20.99632,20.17217,24.74897
1237645941299020252,22.62964,21.97756,22.20805,23.3305
1237645941299020251,22.09196,20.46713,19.94398,22.96587
1237645941299020250,22.31767,21.26595,20.2192,26.74649
1237645941299020248,22.43446,21.749,21.25814,24.7435
1237645941299020247,22.40695,21.40379,21.13534,22.66345
1237645941299020246,22.78498,21.63902,21.43066,24.13484
1237645941299020245,21.48609,20.3744,20.05151,22.84246
1237645941299020244,20.9943,20.4001,20.14309,22.33519
1237645941299020243,22.112,21.7339,21.42867,23.32096
1237645941299020240,22.55849,21.7246,21.38532,23.51353
1237645941299020232,21.40569,20.52269,20.19569,22.31173
1237645941299020205,22.37399,21.85497,21.41249,24.7395
1237645941299020204,20.75925,19.89652,19.5094,21.82213
1237645941299020202,23.06591,21.72458,21.14963,25.82511
1237645941299020199,22.63598,20.2732,19.43726,19.47759
1237645941299020198,19.50513,18.80233,18.40133,20.61572
1237645941299020195,21.89758,21.22795,21.0132,22.61784
1237645941299020187,22.45364,21.87956,22.04443,23.22584
1237645941299020184,19.98298,19.32123,19.0757,20.73812
1237645941299020183,22.78251,21.60287,21.31195,23.30871
1237645941299020180,21.46789,20.7285,20.51287,21.77986
1237645941299020179,22.40621,20.60033,19.82846,25.37442
1237645941299020177,21.09702,20.12767,19.78564,21.61051
1237645941299020168,20.91157,20.21967,19.81028,22.18805
1237645941299020163,21.63988,21.49261,21.17439,22.22043
1237645941299020161,21.12766,19.95755,19.44015,22.0541
1237645941299020160,20.49914,19.49951,19.02941,21.67983
1237645941297971502,22.71378,21.33078,23.06385,23.65219
1237645941297971498,22.92389,21.81061,21.79248,24.16755
1237645941297971497,20.95196,19.57142,19.02632,23.26018
1237645941297971496,20.58541,18.74042,17.6964,19.96102
1237645941297971434,22.39132,21.20164,20.50855,23.92448
1237645941297971403,21.44867,16.57286,15.81021,18.73745
1237645941297971385,24.82067,21.93827,22.11077,24.39546
1237645941297971383,22.61602,21.94892,21.16252,25.5699
1237645941297971382,22.72942,21.67517,22.01924,24.63402
1237645941297971375,26.79575,16.23537,14.96859,25.02123
1237645941297971374,16.32493,14.7988,14.09403,24.65765
1237645941297971356,22.1145,21.01536,20.43332,24.63466
1237645941297971355,16.0767,14.80639,14.43899,24.63471
1237645941297971354,17.72714,17.01379,16.68725,20.89135
1237645941297971353,15.23,11.1328,10.8114,15.22266
1237645941297971308,20.34249,19.28162,24.36856,24.48232
1237645941297971306,21.81315,21.24266,24.36145,25.08361
1237645941297971302,18.06627,18.18478,25.38585,20.27862
1237645941297971297,25.72247,17.38626,14.55776,20.47635
1237645941297971267,22.26404,19.58928,19.42836,22.34064
1237645941297971221,24.9375,18.58088,17.79125,21.41467
1237645941297971209,22.84765,21.68615,21.74986,24.76287
1237645941297906553,23.00078,21.35305,22.1652,21.55627
1237645941297906546,24.2153,21.9518,21.63957,25.32918
1237645941297906487,22.31312,21.29681,20.17977,21.43334
1237645941297906457,23.41272,21.72221,20.49073,22.45796
1237645941297906409,24.27847,21.81172,21.44525,23.90887
1237645941297906408,23.20447,21.56448,20.97399,25.11489
1237645941297906403,23.00854,21.64579,20.65189,25.05363
1237645941297906402,22.7358,21.66178,21.35812,25.37006
1237645941297906400,22.73092,21.72906,21.56187,25.83882
1237645941297906397,22.29409,20.66292,20.12683,22.66391
1237645941297906389,23.00891,21.85392,21.50242,24.92751
1237645941297906388,22.47588,21.72503,22.06701,23.11236
1237645941297906385,22.88875,21.80525,21.54764,23.77987
1237645941297906365,22.70973,20.59956,19.66647,23.15395
1237645941296398852,22.42254,20.80171,20.07133,22.63767
1237645941296398850,23.29124,21.87281,21.10129,24.49051
1237645941296398843,22.93801,21.42474,20.78401,24.22315
1237645941296398842,22.59283,21.17749,21.16773,22.63408
1237645941296398841,23.09021,21.40822,20.58296,25.26102
1237645941296398840,22.44013,21.78176,21.05171,22.68922
1237645941296398833,24.15498,21.85248,21.74,23.26895
1237645941296398828,22.51941,21.3828,20.69282,25.39936
1237645941296398826,23.31438,21.68987,21.11522,24.64976
1237645941296398825,23.06607,21.99283,21.68344,23.3369
1237645941296398824,22.82016,21.4707,20.75833,25.15512
1237645941296398819,23.25895,21.96055,21.55723,23.65763
1237645941296398817,23.42795,21.63772,21.10938,24.34816
1237645941296398816,23.11607,21.54783,20.98541,25.19799
1237645941296398813,23.16767,21.69435,20.83949,24.8333
1237645941296398809,22.95262,21.60678,21.05987,22.78708
1237645941296398803,22.23163,21.24985,20.75801,23.29729
1237645941296398802,23.06981,21.77383,20.79284,22.96658
1237645941296398800,23.36697,21.88811,21.86004,25.7836
1237645941296398797,22.21266,20.39194,19.84439,26.71354
1237645941296398791,23.19639,21.40686,20.83034,25.34089
1237645941296398790,23.20385,21.76287,20.85581,25.44546
1237645941296398788,23.59131,21.33726,20.66907,24.71347
1237645941296398785,23.21932,20.68811,20.08418,25.36084
1237645941296398784,24.01692,21.98368,21.37109,23.49562
1237645941296398781,23.2499,21.16942,20.26461,24.04141
1237645941296398778,22.95217,21.49874,20.89395,23.23323
1237645941296398774,23.08761,21.43557,20.2363,23.37296
1237645941296398767,22.55576,21.67849,21.44465,22.35479
1237645941296398765,22.73226,21.99524,21.4477,22.76522
1237645941296398763,22.78381,21.83241,21.59067,24.6908
1237645941296398760,23.57155,21.96919,20.85026,23.99768
1237645941296398753,22.92224,21.01515,20.54326,22.92123
1237645941296398749,25.05177,21.40617,26.13297,23.80517
1237645941296398744,23.2221,21.95555,21.34675,22.6541
1237645941296398743,23.37144,21.88658,21.27679,23.70368
1237645941296398740,23.03998,20.68877,20.11337,26.45537
1237645941296398738,23.25776,21.52048,20.96434,23.09247
1237645941834121945,25.81516,21.07007,20.76996,27.35522
1237645941296398732,22.96541,21.29629,20.05683,22.91211
1237645941296398713,22.82697,21.77384,21.50091,24.23331
1237645941296398712,22.39016,21.25165,21.26351,24.58373
1237645941296398708,22.05578,21.14687,20.98139,23.80153
1237645941296398707,22.21784,20.84474,19.99413,22.97703
1237645941296398698,21.70872,20.8299,20.36546,22.00273
1237645941296398697,21.11769,20.11984,19.58603,22.62624
1237645941296398694,20.47142,19.15379,18.64751,21.78247
1237645941296398692,22.42375,21.17057,20.68143,23.35536
1237645941296398684,22.69981,21.74687,21.17879,22.89505
1237645941296398683,21.56431,19.90242,19.15439,23.53909
1237645941298889657,23.11795,20.90269,19.90173,22.85629
1237645941298889652,23.45774,21.96458,21.43115,25.96859
1237645941298889650,24.12323,21.80763,20.17979,26.08092
1237645941298889641,22.42533,21.3552,20.7513,22.33443
1237645941298889638,23.02208,21.71323,20.58716,22.91815
